ATC;Bezeichnung
A01AA01;A01AA01 Natriumfluorid
A01AA02;A01AA02 Natriummonofluorphosphat
A01AA03;A01AA03 Olaflur
A01AA04;A01AA04 Zinn(II)-fluorid
A01AA30;A01AA30 Kombinationen
A01AA51;A01AA51 Natriumfluorid, Kombinationen
A01AB02;A01AB02 Wasserstoffperoxid
A01AB03;A01AB03 Chlorhexidin
A01AB04;A01AB04 Amphotericin B
A01AB05;A01AB05 Polynoxylin
A01AB06;A01AB06 Domiphen
A01AB07;A01AB07 Oxychinolin
A01AB08;A01AB08 Neomycin
A01AB09;A01AB09 Miconazol
A01AB10;A01AB10 Natamycin
A01AB11;A01AB11 Verschiedene
A01AB12;A01AB12 Hexetidin
A01AB13;A01AB13 Tetracyclin
A01AB14;A01AB14 Benzoxoniumchlorid
A01AB15;A01AB15 Tibezoniumiodid
A01AB16;A01AB16 Mepartricin
A01AB17;A01AB17 Metronidazol
A01AB18;A01AB18 Clotrimazol
A01AB19;A01AB19 Natriumperborat
A01AB21;A01AB21 Chlortetracyclin
A01AB22;A01AB22 Doxycyclin
A01AB23;A01AB23 Minocyclin
A01AC01;A01AC01 Triamcinolon
A01AC02;A01AC02 Dexamethason
A01AC03;A01AC03 Hydrocortison
A01AC54;A01AC54 Prednisolon, Kombinationen
A01AD01;A01AD01 Epinephrin
A01AD02;A01AD02 Benzydamin
A01AD05;A01AD05 Acetylsalicylsäure
A01AD06;A01AD06 Adrenalon
A01AD07;A01AD07 Amlexanox
A01AD08;A01AD08 Becaplermin
A01AD11;A01AD11 Verschiedene
A02AA01;A02AA01 Magnesiumcarbonat
A02AA02;A02AA02 Magnesiumoxid
A02AA03;A02AA03 Magnesiumperoxid
A02AA04;A02AA04 Magnesiumhydroxid
A02AA05;A02AA05 Magnesiumsilikat
A02AA10;A02AA10 Kombinationen
A02AB01;A02AB01 Aluminiumhydroxid
A02AB02;A02AB02 Algeldrat
A02AB03;A02AB03 Aluminiumphosphat
A02AB04;A02AB04 Dihydroxyaluminiumnatriumcarbonat
A02AB05;A02AB05 Aluminiumacetoacetat
A02AB06;A02AB06 Aloglutamol
A02AB07;A02AB07 Aluminiumglycinat
A02AB10;A02AB10 Kombinationen
A02AC01;A02AC01 Calciumcarbonat
A02AC02;A02AC02 Calciumsilikat
A02AC10;A02AC10 Kombinationen
A02AD01;A02AD01 Einfache Salzkombinationen
A02AD02;A02AD02 Magaldrat
A02AD03;A02AD03 Almagat
A02AD04;A02AD04 Hydrotalcit
A02AD05;A02AD05 Almasilat
A02AF01;A02AF01 Magaldrat und Karminativa
A02AF02;A02AF02 Einfache Salzkombinationen und Karminativa
A02BA01;A02BA01 Cimetidin
A02BA02;A02BA02 Ranitidin
A02BA03;A02BA03 Famotidin
A02BA04;A02BA04 Nizatidin
A02BA05;A02BA05 Niperotidin
A02BA06;A02BA06 Roxatidin
A02BA07;A02BA07 Ranitidinbismutcitrat
A02BA08;A02BA08 Lafutidin
A02BA51;A02BA51 Cimetidin, Kombinationen
A02BA53;A02BA53 Famotidin, Kombinationen
A02BB01;A02BB01 Misoprostol
A02BB02;A02BB02 Enprostil
A02BC01;A02BC01 Omeprazol
A02BC02;A02BC02 Pantoprazol
A02BC03;A02BC03 Lansoprazol
A02BC04;A02BC04 Rabeprazol
A02BC05;A02BC05 Esomeprazol
A02BC06;A02BC06 Dexlansoprazol
A02BD01;A02BD01 Omeprazol, Amoxicillin und Metronidazol
A02BD02;A02BD02 Lansoprazol, Tetracyclin und Metronidazol
A02BD03;A02BD03 Lansoprazol, Amoxicillin und Metronidazol
A02BD04;A02BD04 Pantoprazol, Amoxicillin und Clarithromycin
A02BD05;A02BD05 Omeprazol, Amoxicillin und Clarithromycin
A02BD06;A02BD06 Esomeprazol, Amoxicillin und Clarithromycin
A02BD07;A02BD07 Lansoprazol, Amoxicillin und Clarithromycin
A02BD08;A02BD08 Bismutsubcitrat, Tetracyclin und Metronidazol
A02BX01;A02BX01 Carbenoxolon
A02BX02;A02BX02 Sucralfat
A02BX03;A02BX03 Pirenzepin
A02BX04;A02BX04 Methiosulfoniumchlorid
A02BX05;A02BX05 Bismutsubcitrat
A02BX06;A02BX06 Proglumid
A02BX07;A02BX07 Gefarnat
A02BX08;A02BX08 Sulglicotid
A02BX09;A02BX09 Acetoxolon
A02BX10;A02BX10 Zolimidin
A02BX11;A02BX11 Troxipid
A02BX12;A02BX12 Bismutsubnitrat
A02BX13;A02BX13 Alginsäure
A02BX51;A02BX51 Carbenoxolon, Kombinationen exkl. Psycholeptika
A02BX71;A02BX71 Carbenoxolon, Kombinationen mit Psycholeptika
A02BX77;A02BX77 Gefarnat, Kombinationen mit Psycholeptika
A03AA01;A03AA01 Oxyphencyclimin
A03AA03;A03AA03 Camylofin
A03AA04;A03AA04 Mebeverin
A03AA05;A03AA05 Trimebutin
A03AA06;A03AA06 Rociverin
A03AA07;A03AA07 Dicycloverin
A03AA08;A03AA08 Dihexyverin
A03AA09;A03AA09 Difemerin
A03AA30;A03AA30 Piperidolat
A03AB01;A03AB01 Benzilon
A03AB02;A03AB02 Glycopyrronium bromid
A03AB03;A03AB03 Oxyphenonium
A03AB04;A03AB04 Penthienat
A03AB05;A03AB05 Propanthelin
A03AB06;A03AB06 Otiloniumbromid
A03AB07;A03AB07 Methanthelinium
A03AB08;A03AB08 Tridihexethyl
A03AB09;A03AB09 Isopropamid
A03AB10;A03AB10 Hexocyclium
A03AB11;A03AB11 Poldin
A03AB12;A03AB12 Mepenzolat
A03AB13;A03AB13 Bevonium
A03AB14;A03AB14 Pipenzolat
A03AB15;A03AB15 Diphemanil
A03AB16;A03AB16 (2-Benzhydryloxyethyl)diethylmethylammoniumiodid
A03AB17;A03AB17 Tiemoniumiodid
A03AB18;A03AB18 Prifiniumbromid
A03AB19;A03AB19 Timepidiumbromid
A03AB21;A03AB21 Fenpiverinium
A03AB53;A03AB53 Oxyphenonium, Kombinationen
A03AC02;A03AC02 Dimethylaminopropionylphenothiazin
A03AC04;A03AC04 Nicofetamid
A03AC05;A03AC05 Tiropramid
A03AD01;A03AD01 Papaverin
A03AD02;A03AD02 Drotaverin
A03AD30;A03AD30 Moxaverin
A03AE01;A03AE01 Alosetron
A03AE02;A03AE02 Tegaserod
A03AE03;A03AE03 Cilansetron
A03AE04;A03AE04 Prucaloprid
A03AX01;A03AX01 Fenpipran
A03AX02;A03AX02 Diisopromin
A03AX03;A03AX03 Chlorbenzoxamin
A03AX04;A03AX04 Pinaverium
A03AX05;A03AX05 Fenoverin
A03AX06;A03AX06 Idanpramin
A03AX07;A03AX07 Proxazol
A03AX08;A03AX08 Alverin
A03AX09;A03AX09 Trepibuton
A03AX10;A03AX10 Isomethepten
A03AX11;A03AX11 Caroverin
A03AX12;A03AX12 Phloroglucinol
A03AX13;A03AX13 Silikone
A03AX30;A03AX30 Trimethyldiphenylpropylamin
A03AX58;A03AX58 Alverin, Kombinationen
A03BA01;A03BA01 Atropin
A03BA03;A03BA03 Hyoscyamin
A03BA04;A03BA04 Belladonna-Gesamtalkaloide
A03BB01;A03BB01 Butylscopolamin
A03BB02;A03BB02 Methylatropin
A03BB03;A03BB03 Methylscopolamin
A03BB04;A03BB04 Fentonium
A03BB05;A03BB05 Cimetropiumbromid
A03CA01;A03CA01 Isopropamid und Psycholeptika
A03CA02;A03CA02 Clidinium und Psycholeptika
A03CA03;A03CA03 Oxyphencyclimin und Psycholeptika
A03CA04;A03CA04 Otiloniumbromid und Psycholeptika
A03CA05;A03CA05 Glycopyrronium bromid und Psycholeptika
A03CA06;A03CA06 Bevonium und Psycholeptika
A03CA07;A03CA07 Ambutonium und Psycholeptika
A03CA08;A03CA08 Diphemanil und Psycholeptika
A03CA30;A03CA30 Emepronium und Psycholeptika
A03CA34;A03CA34 Propanthelin und Psycholeptika
A03CB01;A03CB01 Methylscopolamin und Psycholeptika
A03CB02;A03CB02 Belladonna-Gesamtalkaloide und Psycholeptika
A03CB03;A03CB03 Atropin und Psycholeptika
A03CB04;A03CB04 Methylhomatropin und Psycholeptika
A03CB31;A03CB31 Hyoscyamin und Psycholeptika
A03DA01;A03DA01 Tropenzilon und Analgetika
A03DA02;A03DA02 Pitofenon und Analgetika
A03DA03;A03DA03 Bevonium und Analgetika
A03DA04;A03DA04 Ciclonium und Analgetika
A03DA05;A03DA05 Camylofin und Analgetika
A03DA06;A03DA06 Trospium und Analgetika
A03DA07;A03DA07 Tiemoniumiodid und Analgetika
A03DB04;A03DB04 Butylscopolamin und Analgetika
A03FA01;A03FA01 Metoclopramid
A03FA02;A03FA02 Cisaprid
A03FA03;A03FA03 Domperidon
A03FA04;A03FA04 Bromoprid
A03FA05;A03FA05 Alizaprid
A03FA06;A03FA06 Cleboprid
A04AA01;A04AA01 Ondansetron
A04AA02;A04AA02 Granisetron
A04AA03;A04AA03 Tropisetron
A04AA04;A04AA04 Dolasetron
A04AA05;A04AA05 Palonosetron
A04AD01;A04AD01 Scopolamin
A04AD02;A04AD02 Ceriumoxalat
A04AD04;A04AD04 Chlorbutanol
A04AD05;A04AD05 Metopimazin
A04AD10;A04AD10 Dronabinol
A04AD11;A04AD11 Nabilon
A04AD12;A04AD12 Aprepitant
A04AD13;A04AD13 Casopitant
A04AD51;A04AD51 Scopolamin, Kombinationen
A04AD54;A04AD54 Chlorbutanol, Kombinationen
A05AA01;A05AA01 Chenodeoxycholsäure
A05AA02;A05AA02 Ursodeoxycholsäure
A05AA03;A05AA03 Cholsäure
A05AB01;A05AB01 N-(Hydroxymethyl)nicotinamid
A05AX01;A05AX01 Piprozolin
A05AX02;A05AX02 Hymecromon
A05AX03;A05AX03 Cyclobutyrol
A05BA01;A05BA01 Argininglutamat
A05BA03;A05BA03 Silymarin
A05BA04;A05BA04 Citiolon
A05BA05;A05BA05 Epomediol
A05BA06;A05BA06 Ornithinoxoglurat
A05BA07;A05BA07 Tidiacicarginin
A05BA08;A05BA08 Glycyrrhizinsäure
A06AA01;A06AA01 Dickflüssiges Paraffin
A06AA02;A06AA02 Docusat-Natrium
A06AA51;A06AA51 Dickflüssiges Paraffin, Kombinationen
A06AB01;A06AB01 Oxyphenisatin
A06AB02;A06AB02 Bisacodyl
A06AB03;A06AB03 Dantron
A06AB04;A06AB04 Phenolphthalein
A06AB05;A06AB05 Rizinusöl
A06AB06;A06AB06 Sennoside
A06AB07;A06AB07 Cascara
A06AB08;A06AB08 Natriumpicosulfat
A06AB09;A06AB09 Bisoxatin
A06AB20;A06AB20 Kontaktlaxanzien in Kombination
A06AB30;A06AB30 Kontaktlaxanzien in Kombination mit Belladonna-Alkaloiden
A06AB52;A06AB52 Bisacodyl, Kombinationen
A06AB53;A06AB53 Dantron, Kombinationen
A06AB56;A06AB56 Sennoside, Kombinationen
A06AB57;A06AB57 Cascara, Kombinationen
