target;mean;auc_train;auc_test;ppv10;ppv20;fpr10;fpr20;model_id
T_KNR214;0.03500350035;0.932176610446;0.940488488784;[[0.1, 0.6060606060606061]];[[0.2, 0.6060606060606061]];[[0.1, 0.013429752066115703]];[[0.2, 0.013429752066115703]];GLM_model_python_1450095755587_12
T_KNR276;0.025702570257;0.88772032255;0.87684981685;[[0.1, 0.02108433734939759]];[[0.2, 0.02108433734939759]];[[0.1, 1.0]];[[0.2, 1.0]];GLM_model_python_1450095755587_14
T_KNR330;0.004900490049;0.879314579147;0.723664314516;[[0.1, 0.14285714285714285]];[[0.2, 0.0]];[[0.1, 0.006048387096774193]];[[0.2, 0.006048387096774193]];GLM_model_python_1450095755587_16
T_KNR153;0.0656065606561;0.955589941269;0.954411871155;[[0.1, 0.8108108108108109]];[[0.2, 0.8108108108108109]];[[0.1, 0.01520086862106406]];[[0.2, 0.01520086862106406]];GLM_model_python_1450095755587_18
T_KNR152;0.282428242824;0.969453852456;0.961227738084;[[0.1, 0.4910071942446043]];[[0.2, 0.8896797153024911]];[[0.1, 0.39360222531293465]];[[0.2, 0.043115438108484005]];GLM_model_python_1450095755587_20
T_KNR108;0.019101910191;0.936067579062;0.94367828476;[[0.1, 0.7]];[[0.2, 0.7]];[[0.1, 0.006141248720573183]];[[0.2, 0.006141248720573183]];GLM_model_python_1450095755587_22
T_KNR149;0.105410541054;0.728576983707;0.722369180454;[[0.1, 0.37735849056603776]];[[0.2, 0.41935483870967744]];[[0.1, 0.07300884955752213]];[[0.2, 0.059734513274336286]];GLM_model_python_1450095755587_24
T_KNR148;0.0594059405941;0.831716066925;0.770245726496;[[0.1, 0.5217391304347826]];[[0.2, 0.5111111111111111]];[[0.1, 0.023504273504273504]];[[0.2, 0.023504273504273504]];GLM_model_python_1450095755587_26
T_KNR224;0.004500450045;0.883325807466;0.999497487437;[[0.1, 0.25]];[[0.2, 0.3333333333333333]];[[0.1, 0.003015075376884422]];[[0.2, 0.0020100502512562816]];GLM_model_python_1450095755587_28
T_KNR267;0.038703870387;0.970142571432;0.96338498444;[[0.1, 0.78125]];[[0.2, 0.78125]];[[0.1, 0.007261410788381743]];[[0.2, 0.007261410788381743]];GLM_model_python_1450095755587_30
T_KNR366;0.0781078107811;0.756597158131;0.640078385832;[[0.1, 0.20149253731343283]];[[0.2, 0.20689655172413793]];[[0.1, 0.1171960569550931]];[[0.2, 0.025191675794085433]];GLM_model_python_1450095755587_32
T_KNR365;0.015501550155;0.856488166884;0.479237673256;[[0.1, 0.0]];[[0.2, 0.0]];[[0.1, 0.015337423312883436]];[[0.2, 0.00408997955010225]];GLM_model_python_1450095755587_34
T_KNR164;0.039703970397;0.948524037798;0.963273266674;[[0.1, 0.7555555555555555]];[[0.2, 0.7555555555555555]];[[0.1, 0.011482254697286013]];[[0.2, 0.011482254697286013]];GLM_model_python_1450095755587_36
T_KNR245;0.00770077007701;0.937885208936;0.843492705475;[[0.1, 0.4]];[[0.2, 0.5]];[[0.1, 0.003033367037411527]];[[0.2, 0.0020222446916076846]];GLM_model_python_1450095755587_38
T_KNR243;0.00600060006001;0.983953752997;0.940867810293;[[0.1, 0.3333333333333333]];[[0.2, 0.5]];[[0.1, 0.0020181634712411706]];[[0.2, 0.0010090817356205853]];GLM_model_python_1450095755587_40
T_KNR142;0.208220822082;0.770915775859;0.765885223908;[[0.1, 0.2248995983935743]];[[0.2, 0.49615384615384617]];[[0.1, 1.0]];[[0.2, 0.16968911917098445]];GLM_model_python_1450095755587_42
T_KNR187;0.0846084608461;0.718082268813;0.712288447388;[[0.1, 0.33980582524271846]];[[0.2, 0.39325842696629215]];[[0.1, 0.07505518763796909]];[[0.2, 0.059602649006622516]];GLM_model_python_1450095755587_44
T_KNR246;0.20902090209;0.763430547915;0.746701139124;[[0.1, 0.21887550200803213]];[[0.2, 0.5042735042735043]];[[0.1, 1.0]];[[0.2, 0.14910025706940874]];GLM_model_python_1450095755587_46
T_KNR16;0.0766076607661;0.796327666042;0.782188984362;[[0.1, 0.2967741935483871]];[[0.2, 0.36363636363636365]];[[0.1, 0.11925601750547046]];[[0.2, 0.045951859956236324]];GLM_model_python_1450095755587_48
T_KNR140;0.215121512151;0.780401234975;0.797147440983;[[0.1, 0.21987951807228914]];[[0.2, 0.518796992481203]];[[0.1, 1.0]];[[0.2, 0.16473616473616473]];GLM_model_python_1450095755587_50
T_KNR229;0.0905090509051;0.718673150942;0.70083242852;[[0.1, 0.1837837837837838]];[[0.2, 0.2708333333333333]];[[0.1, 0.16395222584147665]];[[0.2, 0.038002171552660155]];GLM_model_python_1
